names,tv_shows,park_attractions
'Olu Mel,[],[]
.GIFfany,['Gravity Falls'],[]
627,"['Lilo & Stitch: The Series', 'Stitch!']",[]
9-Eye,[],['The Timekeeper']
90's Adventure Bear,['Pickle and Peanut'],[]
A.B.E.,[],[]
A.J. Arno,[],[]
A.R.F.,['Puppy Dog Pals'],[]
Abdullah,[],[]
Abigail Markham,['The Legend of Tarzan'],[]
Abigail the Cow,[],[]
Abigail,['Once Upon a Time'],[]
Queen Abigail,['Elena of Avalor'],[]
Abis Mal's Thugs,['Aladdin (TV series)'],[]
Able,['Tron: Uprising'],[]
Abraxas,[],[]
Absolem,[],[]
Abu,"['Aladdin (TV series)', 'Hercules (TV series)', 'House of Mouse']","['Garden of the Twelve Friends', 'Voyage to the Crystal Grotto']"
Abuelita,['Gravity Falls'],[]
Abuelito,['Handy Manny'],[]
AC and DC,['Big Hero 6: The Series'],[]
Professor Acari,['Kim Possible'],[]
Ace,"['Lilo & Stitch: The Series', 'Stitch!']",[]
Achilles,[],[]
Prince Achmed,['Once Upon a Time'],[]
Aconcagua,[],[]
Ada,['Tron: Uprising'],[]
Candace Adams,['K.C. Undercover'],[]
Gator Adams,['Dog With a Blog'],[]
Addison,['The Suite Life on Deck'],[]
Amber Addison,['Hannah Montana'],[]
Claire Addison,[],[]
Adelbert,[],[]
Adelbert's Father,[],[]
Adira,['Tangled: The Series'],[]
Admiral Boom and Mr. Binnacle,[],[]
Admirals Watson and Crick,['Miles from Tomorrowland'],[]
Adonis,['Hercules (TV series)'],[]
Adora,['Star Darlings'],[]
Adorable Norm,['Goldie & Bear'],[]
Achilles,['Hercules (TV series)'],[]
Addison,"[""Addison's Moonstone Mystery (page does not exist)""]",[]
Aerosol,['Pair of Kings'],[]
Agatha,['Jessie (TV series)'],[]
Agent E,['Phineas and Ferb'],[]
Agent Gordon,['Lab Rats'],[]
Agent K,['The Replacements'],[]
Agent X,['Quack Pack'],[]
Agent,[],[]
Aggro,['Miles from Tomorrowland'],[]
